id,aut,value1,value2,comment
3356:2043,3356,3356,2043,<city>New York City 2|<geoCode>NYC2
3356:2064,3356,3356,2064,<city>London|<geoCode>LON1
3356:2065,3356,3356,2065,<city>Frankfurt|<geoCode>FRF1
3356:2066,3356,3356,2066,<city>Paris|<geoCode>PAR1
3356:2067,3356,3356,2067,<city>Amsterdam|<geoCode>AMS1
3356:2068,3356,3356,2068,<city>Brussels|<geoCode>BRU1
3356:2069,3356,3356,2069,<city>Dusseldorf|<geoCode>DUS1
3356:2070,3356,3356,2070,<city>Hamburg|<geoCode>HAM1
3356:2071,3356,3356,2071,<city>Berlin|<geoCode>BER1
3356:2072,3356,3356,2072,<city>Munich|<geoCode>MUN1
3356:2073,3356,3356,2073,<city>London 2|<geoCode>LON2
3356:2074,3356,3356,2074,<city>Milan|<geoCode>MLN1
3356:2075,3356,3356,2075,<city>Zurich|<geoCode>ZUR1
3356:2076,3356,3356,2076,<city>Stockholm|<geoCode>STK1
3356:2077,3356,3356,2077,<city>Madrid|<geoCode>MAD1
3356:2078,3356,3356,2078,<city>Geneva|<geoCode>GEN1
3356:2079,3356,3356,2079,<city>Manchester|<geoCode>MAN1
3356:2080,3356,3356,2080,<city>Dublin|<geoCode>DUB1
3356:2081,3356,3356,2081,<city>Copenhagen|<geoCode>COP1
3356:2082,3356,3356,2082,<city>Vienna|<geoCode>VIE1
3356:2083,3356,3356,2083,<city>Prague|<geoCode>PRG1
3356:2084,3356,3356,2084,<city>Warsaw|<geoCode>WAW1
3356:500,3356,3356,500,<country>UK
3356:501,3356,3356,501,<country>Germany
3356:502,3356,3356,502,<country>France
3356:503,3356,3356,503,<country>Netherlands
3356:504,3356,3356,504,<country>Belgium
3356:505,3356,3356,505,<country>Italy
3356:506,3356,3356,506,<country>Switzerland
3356:507,3356,3356,507,<country>Sweden
3356:508,3356,3356,508,<country>Spain
3356:509,3356,3356,509,<country>Ireland
3356:510,3356,3356,510,<country>Denmark
3356:511,3356,3356,511,<country>Austria
3356:512,3356,3356,512,<country>Czech Republic
3356:513,3356,3356,513,<country>Poland
3356:575,3356,3356,575,<country>USA
3356:576,3356,3356,576,<country>Canada
3356:2,3356,3356,2,<region>Europe
3356:3,3356,3356,3,<sub-region>North America
64960:XXX,3356,64960,XXX,announce to ASXXX if 65000:0
65000:0,3356,65000,0,announce to customers but not to peers
65000:XXX,3356,65000,XXX,do not announce at peerings to ASXXX
65001:0,3356,65001,0,prepend 1x to peers
65001:XXX,3356,65001,XXX,prepend 1x to ASXXX
65002:0,3356,65002,0,prepend 2x to peers
65002:XXX,3356,65002,XXX,prepend 2x to ASXXX
65003:0,3356,65003,0,prepend 3x to peers
65003:XXX,3356,65003,XXX,prepend 3x to ASXXX
65004:0,3356,65004,0,prepend 4x to peers
65004:XXX,3356,65004,XXX,prepend 4x to ASXXX
64980:0,3356,64980,0,announce to customers but not to EU peers
64981:0,3356,64981,0,prepend 1x to all EU peers
64982:0,3356,64982,0,prepend 2x to all EU peers
64983:0,3356,64983,0,prepend 3x to all EU peers
64984:0,3356,64984,0,prepend 4x to all EU peers
3356:70,3356,3356,70,set local preference to 70
3356:80,3356,3356,80,set local preference to 80
3356:90,3356,3356,90,set local preference to 90
3356:9999,3356,3356,9999,blackhole (discard) traffic
3491:7,3491,3491,7,set local preference to 70
3491:8,3491,3491,8,set local preference to 80
3491:9,3491,3491,9,set local preference to 90
3491:10,3491,3491,10,set local preference to 100|<misc>(Default)
3491:11,3491,3491,11,set local preference to 110
3491:100,3491,3491,100,Customer route|<region>North America|<misc>(East Coast)
B3491:200,3491,B3491,200,Customer route|<region>North America|<misc>(West Coast)
B3491:2000,3491,B3491,2000,Peer route|<region>North America|<misc>(West Coast)
3491:300,3491,3491,300,Customer route|<region>Europe
3491:3000,3491,3491,3000,Peer route|<region>Europe
3491:400,3491,3491,400,Customer route|<region>Asia
3491:4000,3491,3491,4000,Peer route|<region>Asia
3491:1000,3491,3491,1000,Peer route|<region>North America|<misc>(East Coast)
3491:200,3491,3491,200,Customer route|<region>North America|<misc>(West Coast)
3491:2000,3491,3491,2000,peer route|<region>North America|<misc>(West Coast)
3491:300,3491,3491,300,Customer|<region>Europe
3491:3000,3491,3491,3000,Peer|<region>Europe
3491:400,3491,3491,400,Customer|<region>Asia
3491:4000,3491,3491,4000,Peer|<region>Asia
3491:1001,3491,3491,1001,<city>Ashburn (ASH01)
3491:1002,3491,3491,1002,<city>Vienna (VNA01)
3491:1003,3491,3491,1003,<city>Washington DC (WDC01)
3491:1004,3491,3491,1004,<city>Baltimore (BLT01)
3491:1005,3491,3491,1005,<city>Philadelphia (PHL02)
3491:1006,3491,3491,1006,<city>New York (NYC01)
3491:1007,3491,3491,1007,<city>Miami (MIA02)
3491:1008,3491,3491,1008,<city>Atlanta (ATL01)
3491:1009,3491,3491,1009,<city>Miami (MIA01)
3491:1010,3491,3491,1010,<city>New York (NYC02)
3491:1011,3491,3491,1011,<city>Washington DC (WDC02)
3491:2001,3491,3491,2001,<city>Dallas (DAL01)
3491:2002,3491,3491,2002,<city>Chicago (CHC01)
3491:2003,3491,3491,2003,<city>Seattle (SEA01)
3491:2004,3491,3491,2004,<city>SanJose (SJO01)
3491:2005,3491,3491,2005,<city>Los Angeles (LAX01)
3491:2006,3491,3491,2006,<city>Los Angeles (LAX03)
3491:2007,3491,3491,2007,<city>Los Angeles (LAX04)
3491:2009,3491,3491,2009,<city>Los Angeles (LAX05)
3491:2008,3491,3491,2008,<city>Denver (DEN01)
3491:3001,3491,3491,3001,<city>London (LDN01)
3491:3002,3491,3491,3002,<city>FrankFurt (FRF02)
3491:3003,3491,3491,3003,<city>Milan (MIL01)
3491:3004,3491,3491,3004,<city>Amsterdam (AMS01)
3491:3005,3491,3491,3005,<city>Stockholm (STK01)
3491:3006,3491,3491,3006,<city>Paris (PAR01)
3491:3007,3491,3491,3007,<city>Paris (PAR02)
3491:3008,3491,3491,3008,<city>Paris (PAR03)
3491:4001,3491,3491,4001,<city>Hong Kong (HKG04)
3491:4002,3491,3491,4002,<city>Hong Kong (HKG02)
3491:4003,3491,3491,4003,<city>Shenzen (SZN01)
3491:4004,3491,3491,4004,<city>Shanghai (SHG01)
3491:4005,3491,3491,4005,<city>Taipei (TAP01)
3491:4006,3491,3491,4006,<city>Dungguan (DGN01)
3491:4007,3491,3491,4007,<city>Hong Kong (HKG05)
3491:4008,3491,3491,4008,<city>Tokyo (TOK01)
3491:1001,3491,3491,1001,<ixp>Equinix Ashburn
3491:1002,3491,3491,1002,<ixp>MAE-East
3491:1007,3491,3491,1007,<ixp>NOTA
3491:1008,3491,3491,1008,<ixp>Atlanta-IX
3491:2001,3491,3491,2001,<ixp>Equinix Dallas
3491:2002,3491,3491,2002,<ixp>Equinix Chicago
3491:2002,3491,3491,2002,<ixp>AADS Chicago
3491:2003,3491,3491,2003,<ixp>SIX
3491:2004,3491,3491,2004,<ixp>Equinix SanJose
3491:2004,3491,3491,2004,<ixp>MAE-West SanJose
3491:2007,3491,3491,2007,<ixp>Equinix LA
3491:2009,3491,3491,2009,<ixp>Any2 Exchange LA
3491:3001,3491,3491,3001,<ixp>LINX
3491:3001,3491,3491,3001,<ixp>XPE
3491:3002,3491,3491,3002,<ixp>DE-CIX
3491:3004,3491,3491,3004,<ixp>AMSIX
3491:3006,3491,3491,3006,<ixp>PARIX
3491:4001,3491,3491,4001,<ixp>HKIX
3491:60040,3491,3491,60040,do not announce to AS174
3491:60041,3491,3491,60041,prepend 1x to AS174
3491:60042,3491,3491,60042,prepend 2x to AS174
3491:60043,3491,3491,60043,prepend 3x to AS174
3491:60130,3491,3491,60130,do not announce to AS7018
3491:60131,3491,3491,60131,prepend 1x to AS7018
491:60132,3491,491,60132,prepend 2x to AS7018
3491:60133,3491,3491,60133,prepend 3x to AS7018
3491:60060,3491,3491,60060,do not announce to AS209
3491:60061,3491,3491,60061,prepend 1x to AS209
3491:60062,3491,3491,60062,prepend 2x to AS209
3491:60063,3491,3491,60063,prepend 3x to AS209
3491:60090,3491,3491,60090,do not announce to AS19262
3491:60091,3491,3491,60091,prepend 1x to AS19262
3491:60092,3491,3491,60092,prepend 2x to AS19262
3491:60093,3491,3491,60093,prepend 3x to AS19262
6762:20099,6762,6762,20099,do not announce to <ixp>LINX
6762:20098,6762,6762,20098,do not announce to <ixp>AMSIX
6762:20097,6762,6762,20097,do not announce to <ixp>DECIX
6762:20096,6762,6762,20096,do not announce to <ixp>PAIX Palo Alto
6762:20095,6762,6762,20095,do not announce to <ixp>STHIX Stocholm
6762:20094,6762,6762,20094,do not announce to <ixp>EQUINIX Singapore
6762:20093,6762,6762,20093,do not announce to <ixp>EQUINIX Ashburn
6762:1090,6762,6762,1090,Set local preference to 90|<misc>(same as peering)
6762:1070,6762,6762,1070,Set local preference to 70|<misc>(lower than peering)
6762:1050,6762,6762,1050,Set local preference to 50|<misc>(backup route)
6762:30,6762,6762,30,<region>Europe
6762:31,6762,6762,31,<region>North America
6762:32,6762,6762,32,South America
6762:33,6762,6762,33,<region>Asia
6762:34,6762,6762,34,<region>Africa
6762:40,6762,6762,40,customer route
6762:12300,6762,6762,12300,<city>Accra
6762:14950,6762,6762,14950,<city>Hamburg
6762:13100,6762,6762,13100,<city>Amsterdam
6762:10130,6762,6762,10130,<city>Ashburn
6762:13000,6762,6762,13000,<city>Athens
6762:10110,6762,6762,10110,<city>Atlanta
6762:13200,6762,6762,13200,<city>Bruxelles
6762:14000,6762,6762,14000,<city>Bucarest
6762:15400,6762,6762,15400,<city>Buenos Aires
6762:13930,6762,6762,13930,<city>Catania
6762:10190,6762,6762,10190,<city>Chicago
6762:10120,6762,6762,10120,<city>Dallas
6762:12550,6762,6762,12550,<city>Dar Es Salaam
6762:12500,6762,6762,12500,<city>Djibouti
6762:15580,6762,6762,15580,<city>Fortaleza
6762:14900,6762,6762,14900,<city>Frankfurt
6762:18500,6762,6762,18500,<city>Hong Kong
6762:19000,6762,6762,19000,<city>Istanbul
6762:15100,6762,6762,15100,<city>Lima
6762:14400,6762,6762,14400,<city>London
6762:10140,6762,6762,10140,<city>Los Angeles
6762:13400,6762,6762,13400,<city>Madrid
6762:13370,6762,6762,13370,<city>Marseille
6762:10150,6762,6762,10150,<city>Miami
6762:13900,6762,6762,13900,<city>Milano
6762:19100,6762,6762,19100,<city>Mumbai
6762:19680,6762,6762,19680,<city>Muscat
6762:10100,6762,6762,10100,<city>Newark/NYC
6762:13950,6762,6762,13950,<city>Palermo
6762:10180,6762,6762,10180,<city>Palo Alto
6762:15070,6762,6762,15070,<city>Panama
6762:13300,6762,6762,13300,<city>Paris
6762:14200,6762,6762,14200,<city>Prague
6762:15550,6762,6762,15550,<city>Rio De Janeiro
6762:13980,6762,6762,13980,<city>Roma
6762:15500,6762,6762,15500,<city>Sao Paulo
6762:15600,6762,6762,15600,<city>Santiago
6762:13590,6762,6762,13590,<city>Sofia
6762:16500,6762,6762,16500,<city>Singapore
6762:14600,6762,6762,14600,<city>Stockolm
6762:14300,6762,6762,14300,<city>Wien
6762:14100,6762,6762,14100,<city>Zurich
1299:2000,1299,1299,2000,prepend 0x in Europe
1299:2001,1299,1299,2001,prepend 1x in Europe
1299:2002,1299,1299,2002,prepend 2x in Europe
1299:2003,1299,1299,2003,prepend 3x in Europe
1299:2009,1299,1299,2009,do not announce in Europe
1299:2500,1299,1299,2500,prepend 0x to AS1239
1299:2501,1299,1299,2501,prepend 1x to AS1239
1299:2502,1299,1299,2502,prepend 2x to AS1239
1299:2503,1299,1299,2503,prepend 3x to AS1239
1299:2509,1299,1299,2509,do not announce to AS1239
1299:2520,1299,1299,2520,prepend 0x to AS2914
1299:2521,1299,1299,2521,prepend 1x to AS2914
1299:2522,1299,1299,2522,prepend 2x to AS2914
1299:2523,1299,1299,2523,prepend 3x to AS2914
1299:2529,1299,1299,2529,do not announce to AS2914
1299:2530,1299,1299,2530,prepend 0x to AS6461
1299:2531,1299,1299,2531,prepend 1x to AS6461
1299:2532,1299,1299,2532,prepend 2x to AS6461
1299:2533,1299,1299,2533,prepend 3x to AS6461
1299:2539,1299,1299,2539,do not announce to AS6461
1299:2540,1299,1299,2540,prepend 0x to AS5511
1299:2541,1299,1299,2541,prepend 1x to AS5511
1299:2542,1299,1299,2542,prepend 2x to AS5511
1299:2543,1299,1299,2543,prepend 3x to AS5511
1299:2549,1299,1299,2549,do not announce to AS5511
1299:2560,1299,1299,2560,prepend 0x to AS3356
1299:2561,1299,1299,2561,prepend 1x to AS3356
1299:2562,1299,1299,2562,prepend 2x to AS3356
1299:2563,1299,1299,2563,prepend 3x to AS3356
1299:2569,1299,1299,2569,do not announce to AS3356
1299:2570,1299,1299,2570,prepend 0x to AS702
1299:2571,1299,1299,2571,prepend 1x to AS702
1299:2572,1299,1299,2572,prepend 2x to AS702
1299:2573,1299,1299,2573,prepend 3x to AS702
1299:2579,1299,1299,2579,do not announce to AS702
1299:2580,1299,1299,2580,prepend 0x to AS2686
1299:2581,1299,1299,2581,prepend 1x to AS2686
1299:2582,1299,1299,2582,prepend 2x to AS2686
1299:2583,1299,1299,2583,prepend 3x to AS2686
1299:2589,1299,1299,2589,do not announce to AS2686
1299:2590,1299,1299,2590,prepend 0x to AS12956
1299:2591,1299,1299,2591,prepend 1x to AS12956
1299:2592,1299,1299,2592,prepend 2x to AS12956
1299:2593,1299,1299,2593,prepend 3x to AS12956
1299:2599,1299,1299,2599,do not announce to AS12956
1299:2610,1299,1299,2610,prepend 0x to AS3910
1299:2611,1299,1299,2611,prepend 1x to AS3910
1299:2612,1299,1299,2612,prepend 2x to AS3910
1299:2613,1299,1299,2613,prepend 3x to AS3910
1299:2619,1299,1299,2619,do not announce to AS3910
1299:2630,1299,1299,2630,prepend 0x to AS6453
1299:2631,1299,1299,2631,prepend 1x to AS6453
1299:2632,1299,1299,2632,prepend 2x to AS6453
1299:2633,1299,1299,2633,prepend 3x to AS6453
1299:2639,1299,1299,2639,do not announce to AS6453
1299:2640,1299,1299,2640,prepend 0x to AS3320
1299:2641,1299,1299,2641,prepend 1x to AS3320
1299:2642,1299,1299,2642,prepend 2x to AS3320
1299:2643,1299,1299,2643,prepend 3x to AS3320
1299:2649,1299,1299,2649,do not announce to AS3320
1299:2690,1299,1299,2690,prepend 0x to AS3257
1299:2691,1299,1299,2691,prepend 1x to AS3257
1299:2692,1299,1299,2692,prepend 2x to AS3257
1299:2693,1299,1299,2693,prepend 3x to AS3257
1299:2699,1299,1299,2699,do not announce to AS3257
1299:2700,1299,1299,2700,prepend 0x to AS6830
1299:2701,1299,1299,2701,prepend 1x to AS6830
1299:2702,1299,1299,2702,prepend 2x to AS6830
1299:2703,1299,1299,2703,prepend 3x to AS6830
1299:2709,1299,1299,2709,do not announce to AS6830
1299:2730,1299,1299,2730,prepend 0x to AS174
1299:2731,1299,1299,2731,prepend 1x to AS174
1299:2732,1299,1299,2732,prepend 2x to AS174
1299:2733,1299,1299,2733,prepend 3x to AS174
1299:2739,1299,1299,2739,do not announce to AS174
1299:2740,1299,1299,2740,prepend 0x to AS6762
1299:2741,1299,1299,2741,prepend 1x to AS6762
1299:2742,1299,1299,2742,prepend 2x to AS6762
1299:2743,1299,1299,2743,prepend 3x to AS6762
1299:2749,1299,1299,2749,do not announce to AS6762
1299:2750,1299,1299,2750,prepend 0x to AS1257
1299:2751,1299,1299,2751,prepend 1x to AS1257
1299:2752,1299,1299,2752,prepend 2x to AS1257
1299:2753,1299,1299,2753,prepend 3x to AS1257
1299:2759,1299,1299,2759,do not announce to AS1257
1299:2860,1299,1299,2860,prepend 0x to AS286
1299:2861,1299,1299,2861,prepend 1x to AS286
1299:2862,1299,1299,2862,prepend 2x to AS286
1299:2863,1299,1299,2863,prepend 3x to AS286
1299:2869,1299,1299,2869,do not announce to AS286
1299:2870,1299,1299,2870,prepend 0x to AS4837
1299:2871,1299,1299,2871,prepend 1x to AS4837
1299:2872,1299,1299,2872,prepend 2x to AS4837
1299:2873,1299,1299,2873,prepend 3x to AS4837
1299:2879,1299,1299,2879,do not announce to AS4837
1299:2880,1299,1299,2880,prepend 0x to AS4134
1299:2881,1299,1299,2881,prepend 1x to AS4134
1299:2882,1299,1299,2882,prepend 2x to AS4134
1299:2883,1299,1299,2883,prepend 3x to AS4134
1299:2889,1299,1299,2889,do not announce to AS4134
1299:5000,1299,1299,5000,prepend 0x in <region>North America
1299:5001,1299,1299,5001,prepend 1x in <region>North America
1299:5002,1299,1299,5002,prepend 2x in <region>North America
1299:5003,1299,1299,5003,prepend 3x in <region>North America
1299:5009,1299,1299,5009,do not announce in <region>North America
1299:5500,1299,1299,5500,prepend 0x to AS1239
1299:5501,1299,1299,5501,prepend 1x to AS1239
1299:5502,1299,1299,5502,prepend 2x to AS1239
1299:5503,1299,1299,5503,prepend 3x to AS1239
1299:5509,1299,1299,5509,do not announce to AS1239
1299:5520,1299,1299,5520,prepend 0x to AS2914
1299:5521,1299,1299,5521,prepend 1x to AS2914
1299:5522,1299,1299,5522,prepend 2x to AS2914
1299:5523,1299,1299,5523,prepend 3x to AS2914
1299:5529,1299,1299,5529,do not announce to AS2914
1299:5530,1299,1299,5530,prepend 0x to AS6461
1299:5531,1299,1299,5531,prepend 1x to AS6461
1299:5532,1299,1299,5532,prepend 2x to AS6461
1299:5533,1299,1299,5533,prepend 3x to AS6461
1299:5539,1299,1299,5539,do not announce to AS6461
